disposition,orbit_period_days,stellar_radius_sun,stellar_effective_temp_kelvin,planet_equilibrium_temp_kelvin,stellar_surface_gravity_log10_cm_s2
0,2.1713484,2.16986,10249.0,3127.2040524,4.19
1,1.9316462,2.01,7070.0,4045.0,4.03
0,1.8675574,5.73,8924.0,2037.0,
0,2.74323,,5388.5,1631.0,4.15
0,3.5730141,2.15,9219.0,4260.0,4.14
0,4.5505945,1.09,5613.0,1257.0,
0,2.5047918,1.53429,6616.0,1649.8220699,
1,6.9989206,2.7,6596.0,1282.0,3.71
0,2.0483755,1.57,6858.5,,4.2
1,1.9600277,,8868.7,1456.4246534,
1,1.4303699,0.890774,5600.0,1525.9048089,4.48851
0,0.6808702,1.0,9438.0,4382.0266062,
1,2.4704981,0.94,5413.7,1364.0,4.46
1,0.884182,2.72,8928.0,5098.0,3.92
0,5.4255548,,8868.7,1037.2753045,
0,1.4095184,,9307.0,1625.6180218,
0,1.3730466,6.7996101,4897.0,1912.3318636,
0,12.6889415,1.53641,7601.0,1158.1310368,4.31
0,1.10422,1.61,6995.2,3926.0,4.07
0,4.95912,2.0,5889.0,1419.0,3.86
1,5.2341008,1.56203,7645.0,1574.8381848,4.3
1,4.4119378,1.21,6280.0,1408.0,4.32092
0,3.28892,,8734.2,3661.0,4.1
0,1.90879,1.22,6022.6,1561.0,4.52
0,3.09574,1.41,6084.0,3230.0,4.13
0,1.3214483,2.99,5050.8,3827.0,3.56
0,18.0157,7.61,4709.0,463.0,
1,9.6837921,,8598.7,1914.698926,
0,14.2628757,0.853898,5690.0,980.3628831,4.58
1,3.2834565,0.68,4272.0,992.0,4.6
1,11.02875,0.68,4272.0,548.0,4.6
1,5.0113292,0.68,4272.0,567.0,4.6
0,1.01606,0.68,4634.0,2023.0,4.64
0,36.22214,,,,
1,3.547854,1.4,6351.0,1504.858953,4.22896
0,12.1246519,1.07,4807.6,1057.0,4.17
0,5.652623,1.92,6415.4,2011.0,3.98
1,5.6643704,2.3383701,10395.0,2385.8536488,4.13
0,29.0160175,2.01,6113.1,,
0,3.6344692,1.60776,9810.0,2188.3820499,4.43
1,6.0744477,2.4303801,5964.0,1583.9398898,3.7
1,3.7795212,1.18,5771.0,1294.0,4.31
